IP,Responsive,ICMP-IP-ID,isPORT80,TCP-IP-ID,SYN-Cookies,Likely OS,,,,,,,,
94.69.107.206,No,null,null,null,null,null,,,,,,,,
106.75.71.81,Yes,random,Yes,zero,No,Linux,,,,,,,,
94.227.16.106,Yes,incremental,No,zero,No,Linux,,,,,,,,
190.189.43.42,No,null,null,null,null,null,,,,,,,,
186.50.210.129,No,null,null,null,null,null,,,,,,,,
87.123.114.230,Yes,zero,No,null,null,Linux,,,,,,,,
46.46.238.19,No,null,null,null,null,null,,,,,,,,
99.138.65.10,No,null,null,null,null,null,,,,,,,,
5.186.58.140,No,null,null,null,null,null,,,,,,,,
187.199.189.91,Yes,incremental,No,null,null,Linux,,,,,,,,
93.186.148.175,No,null,null,null,null,null,,,,,,,,
89.0.80.104,Yes,zero,No,null,null,Linux,,,,,,,,
45.43.62.235,No,null,null,null,null,null,,,,,,,,
108.26.191.36,Yes,random,No,null,null,Linux,,,,,,,,
79.193.235.221,Yes,zero,No,null,null,Linux,,,,,,,,
84.162.16.2,No,null,null,null,null,null,,,,,,,,
187.199.179.87,Yes,random,No,null,null,Linux,,,,,,,,
206.47.30.227,No,null,null,null,null,null,,,,,,,,
217.227.175.163,Yes,zero,No,null,null,Linux,,,,,,,,
98.253.72.24,No,null,null,null,null,null,,,,,,,,
81.227.243.119,Yes,incremental,No,null,null,Linux,,,,,,,,
217.88.115.103,Yes,zero,No,null,null,Linux,,,,,,,,
217.174.90.19,No,null,null,null,null,null,,,,,,,,
104.178.9.183,No,null,null,null,null,null,,,,,,,,
117.48.120.226,Yes,random,Yes,zero,No,Linux,,,,,,,,
91.41.163.19,No,null,null,null,null,null,,,,,,,,
93.41.152.122,Yes,incremental,No,null,null,Linux,,,,,,,,
79.202.31.72,No,null,null,null,null,null,,,,,,,,
84.162.9.91,No,null,null,null,null,null,,,,,,,,
82.73.31.93,Yes,incremental,No,null,null,Linux,,,,,,,,
87.11.39.37,Yes,incremental,No,null,null,Linux,,,,,,,,
37.247.80.148,Yes,zero,Yes,null,No,Linux,,,,,,,,
42.194.226.30,Yes,random,Yes,zero,No,Linux,,,,,,,,
189.230.137.234,Yes,incremental,No,zero,No,Linux,,,,,,,,
146.168.23.39,No,null,null,null,null,null,,,,,,,,
71.112.197.189,No,null,null,null,null,null,,,,,,,,
179.24.196.64,No,null,null,null,null,null,,,,,,,,
2.87.106.121,No,null,null,null,null,null,,,,,,,,
46.234.82.7,Yes,random,No,null,null,Linux,,,,,,,,
104.191.82.237,No,null,null,null,null,null,,,,,,,,
2.38.229.175,No,null,null,null,null,null,,,,,,,,
45.43.57.172,No,null,null,null,null,null,,,,,,,,
78.237.108.84,Yes,random,No,null,null,Linux,,,,,,,,
78.35.89.102,Yes,zero,No,null,null,Linux,,,,,,,,
116.88.135.110,No,null,null,null,null,null,,,,,,,,
37.179.155.213,No,null,null,null,null,null,,,,,,,,
24.6.215.42,No,null,null,null,null,null,,,,,,,,
1.52.128.25,Yes,incremental,No,null,null,Linux,,,,,,,,
190.206.167.196,No,null,null,null,null,null,,,,,,,,
101.36.105.97,No,null,null,null,null,null,,,,,,,,
87.148.51.111,Yes,zero,No,null,null,Linux,,,,,,,,
88.153.24.4,Yes,zero,No,null,null,Linux,,,,,,,,
143.178.250.176,No,null,null,null,null,null,,,,,,,,
78.116.146.104,Yes,incremental,No,null,null,Linux,,,,,,,,
71.190.199.35,No,null,null,null,null,null,,,,,,,,
2.98.14.198,No,null,null,null,null,null,,,,,,,,
89.247.113.58,Yes,zero,No,null,null,Linux,,,,,,,,
87.122.214.149,Yes,zero,No,null,null,Linux,,,,,,,,
78.217.251.26,Yes,random,No,null,null,Linux,,,,,,,,
79.114.126.208,Yes,random,No,null,null,Linux,,,,,,,,
189.230.53.106,Yes,random,No,null,null,Linux,,,,,,,,
51.9.236.50,No,null,null,null,null,null,,,,,,,,
151.40.166.99,No,null,null,null,null,null,,,,,,,,
78.125.58.176,Yes,incremental,No,null,null,Linux,,,,,,,,
177.143.63.244,No,null,null,null,null,null,,,,,,,,
47.205.178.156,Yes,random,No,null,null,Linux,,,,,,,,
151.40.226.152,No,null,null,null,null,null,,,,,,,,
187.199.187.188,Yes,incremental,No,null,null,Linux,,,,,,,,
107.192.1.138,No,null,null,null,null,null,,,,,,,,
187.180.9.175,No,null,null,null,null,null,,,,,,,,
24.96.134.101,No,null,null,null,null,null,,,,,,,,
177.139.153.77,No,null,null,null,null,null,,,,,,,,
84.180.6.23,No,null,null,null,null,null,,,,,,,,
36.231.41.228,No,null,null,null,null,null,,,,,,,,
84.141.18.112,No,null,null,null,null,null,,,,,,,,
151.40.235.218,No,null,null,null,null,null,,,,,,,,
98.115.33.203,Yes,incremental,No,null,null,Linux,,,,,,,,
79.117.136.240,Yes,incremental,Yes,zero,No,Linux,,,,,,,,
86.27.0.120,Yes,incremental,No,zero,No,Linux,,,,,,,,
217.43.13.240,No,null,null,null,null,null,,,,,,,,
2.4.152.184,No,null,null,null,null,null,,,,,,,,
186.137.172.15,Yes,random,No,null,null,Linux,,,,,,,,
108.31.218.244,Yes,random,No,null,null,Linux,,,,,,,,
146.212.139.101,No,null,null,null,null,null,,,,,,,,
87.166.210.157,No,null,null,null,null,null,,,,,,,,
217.93.185.74,Yes,zero,No,null,null,Linux,,,,,,,,
217.227.174.23,Yes,zero,No,null,null,Linux,,,,,,,,
73.84.83.253,Yes,incremental,No,null,null,Linux,,,,,,,,
42.194.230.121,Yes,random,Yes,zero,No,Linux,,,,,,,,
62.163.26.45,No,null,null,null,null,null,,,,,,,,
151.50.163.164,No,null,null,null,null,null,,,,,,,,
